title,director,cast,country,date_added,release_year,rating,number_of_seasons,listed_in,description
Leila,Unknown,"Huma Qureshi, Siddharth, Rahul Khanna, Arif Zakaria, Seema Biswas, Sanjay Suri, Akash Khurana, Ashwath Bhatt, Anupam Bhattacharya, Adarsh Gourav",India,2019-06-14T00:00:00Z,2019,TV-MA,1,"International TV Shows, TV Dramas, TV Mysteries","In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago."
Trinkets,Unknown,"Brianna Hildebrand, Kiana Madeira, Quintessa Swindell, Brandon Butler, Odiseas Georgiadis, Henry Zaga, Larry Sullivan, Larisa Oleynik",United States,2019-06-14T00:00:00Z,2019,TV-MA,1,"TV Dramas, Teen TV Shows",A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.
Yankee,Unknown,"Pablo Lyle, Ana Layevska, Leonardo Daniel, Javier Díaz Dueñas, Daniel Martínez, Pamela Almanza, Roberto Blandón, Sebastián Ferrat, Gabriela Zamora, Mauricio Pimentel, Julio Casado, Eivaut Rischen",Mexico,2019-06-14T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","On the run from the police, an Arizona man crosses into Mexico and gets deeply involved in drug trafficking – with the help of modern technology."
Jinn,Unknown,"Salma Malhas, Sultan Alkhail, Hamzeh Okab, Aysha Shahaltough, Zaid Zoubi, Ban Halaweh, Yasser Al Hadi",International,2019-06-13T00:00:00Z,2019,TV-MA,1,"International TV Shows, TV Dramas, TV Mysteries","On a field trip to Petra, two jinns – one good, the other evil – enter the human realm, turning high school into a supernatural battleground."
Upin & Ipin,Unknown,Nurfathiah Diaz,Malaysia,2019-06-10T00:00:00Z,2007,TV-Y,1,Kids' TV,Two mischievous yet lovable five-year-old twins and their friends enjoy daily life and new discoveries with the residents of their Malaysian village.
28 Moons,Unknown,"Jin-sung Yang, Kyu-jong Kim, Tae-hwan Kang, Geummi",Unknown,2017-06-10T00:00:00Z,2016,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper."
Magic Phone,Unknown,"Jin-woo Kim, Min-ji Park, In-jun Gwak, Gi-du Kim",South Korea,2017-06-10T00:00:00Z,2016,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","When an ordinary guy crosses paths 15 years later with his childhood sweetheart, now an actress, a magic cellphone allows him to be her protector."
Man to Man,Chang-Min Lee,"Hae-Jin Park, Sung-woong Park, Min-jung Kim, Jung-an Chae, Jung-hoon Yeon, Hyun-sung Jang, Man-sik Jung, Shin-il Kang, Ho-jin Chun, In-ho Tae",South Korea,2017-06-10T00:00:00Z,2017,TV-14,1,"Crime TV Shows, International TV Shows, Korean TV Shows","Disguised as a bodyguard, a special agent must complete his national secret tasks while pandering to the whims of his ill-tempered world star."
My Little Baby,Unknown,"Ji-ho Oh, Soo-kyung Lee, Min-jae Kim, Ji-hyun Nam",South Korea,2017-06-10T00:00:00Z,2016,TV-14,1,"Crime TV Shows, International TV Shows, Korean TV Shows",A top detective in the violent crimes unit becomes the sole guardian of his 6-month-old niece when his sister and her husband pass away unexpectedly.
Singles Villa,Unknown,"Joe Cheng, Lulu Xu, Jiro Wang, Viann Zhang, Han Chengyu",China,2017-06-10T00:00:00Z,2015,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","In a luxurious condominium complex with draconian rules forbidding all romance, two residents fall in love and dare to start a secret relationship."
Under the Black Moonlight,Unknown,"Tae-hyun Nam, Soo-yeon Kim, Seo-ra Kim, Tae-hwan Kang, Young-jo Yang",South Korea,2017-06-10T00:00:00Z,2016,TV-14,1,"International TV Shows, Korean TV Shows, TV Dramas",A college art club welcomes a new member who has the secret ability to smell death and who warns one of them to leave her boyfriend ... or else.
A Thousand Goodnights,Unknown,"Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li",Taiwan,2019-06-01T00:00:00Z,2019,TV-14,1,"International TV Shows, TV Dramas","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way."
Falsa identidad,Unknown,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",International,2019-06-01T00:00:00Z,2018,TV-MA,1,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
Gabru: Hip Hop Revolution,Unknown,"Amol Parashar, Harleen Sethi, Chaitanya Sharma, Priya Malik, Pratik Dixit",India,2018-06-01T00:00:00Z,2018,TV-14,1,"International TV Shows, TV Dramas","Three young, aspiring Indian rappers make their way in a cutthroat music industry, dreaming of fame, stardom and ultimate hip-hop domination ."
November 13: Attack on Paris,Unknown,Unknown,France,2018-06-01T00:00:00Z,2018,TV-MA,1,"Docuseries, International TV Shows","Survivors and first responders share personal stories of anguish, kindness and bravery that unfolded amid the Paris terror attacks of Nov. 13, 2015."
Fear Files... Har Mod Pe Darr,Unknown,Unknown,India,2017-06-01T00:00:00Z,2015,TV-MA,1,"International TV Shows, TV Horror, TV Thrillers","Possessed lovers, witches, haunted houses and more bring tales of horror to the screen in this anthology series."
Jhansi Ki Rani,Unknown,"Ulka Gupta, Sameer Dharmadhikari, Amit Pachori, Shailesh Dattar, Aruna Irani",India,2017-06-01T00:00:00Z,2009,TV-14,1,"International TV Shows, TV Dramas","In British-ruled, 19th-century India, a 14-year-old girl trains as a warrior and becomes a devoted crusader in her country's fight for independence."
Mind Game,Unknown,"Tay Ping Hui, Joanne Peh, Zhang Yaodong, Paige Chua, Akit Tay",Unknown,2017-06-01T00:00:00Z,2015,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas","With the help of a cop, a psychologist and a woman who can foretell the future, a brilliant paralegal works to solve an array of perplexing mysteries."
Miniforce,Unknown,"Sang-hyun Um, Jeong-hwa Yang, Tae-yeol Jeon, Yong-woo Shin, So-yeong Lee, Wan-kyung Sung, Soyeon, Jin-wook Hong, Yeong-wung Jeong",Unknown,2017-06-01T00:00:00Z,2016,TV-Y7,1,"Kids' TV, Korean TV Shows",Four animal superheroes called the Miniforce transform into robots to protect small and defenseless creatures from the hands of scheming villains.
"Pablo Escobar, el patrón del mal",Unknown,"Andrés Parra, Angie Cepeda, Cecilia Navia, Vicky Hernández, Christian Tappán, Rodolfo Silva, Tommy Vasquez, Toto Vega, Nicolás Montero, Marcela Gallego",Colombia,2017-06-01T00:00:00Z,2012,TV-MA,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","From his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous Pablo Escobar."
Power Battle Watch Car,Unknown,"Sang-hyun Um, Tae-yeol Jeon, Yeong-wung Jeong, Hye-won Jeong, Yong-woo Shin, Jin-hong Bae, Do-hyeong Nam, Min-kyu Lee",Unknown,2017-06-01T00:00:00Z,2016,TV-Y7,1,"Kids' TV, Korean TV Shows","Jino and his Watch Car, Bluewill, compete in the Battle League to become world champions. Meanwhile, a dark force threatens to destroy them all."
Rab Se Sohna Isshq,Unknown,"Ekta Kaul, Ashish Sharma, Kanan Malhotra, Sukirti Kandpal",Unknown,2017-06-01T00:00:00Z,2012,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","A complex love triangle goes horribly wrong in this epic, multigenerational saga involving romance, revenge, mistaken identity and amnesia."
The Day Will Come,Unknown,"Sofie Gråbøl, Lars Mikkelsen, Harald Kaiser Hermann, Albert Rudbeck Lindhardt, Laurids Skovgaard Andersen, Søren Sætter Lassen, Sonja Richter, David Dencik, Solbjørg Højfeldt, Lars Ranthe",Denmark,2017-06-01T00:00:00Z,2016,TV-MA,1,"International TV Shows, TV Dramas","In 1967, two brothers from Copenhagen, Denmark, wind up in an orphanage, where the headmaster's cruel tyranny slowly provokes the kids to push back."
The Dream Job,Unknown,"Hugo Ng, Shaun Chen, Jeanette Aw, Rebecca Lim, Zhang Zhenhuan, Ian Fang",Singapore,2017-06-01T00:00:00Z,2016,TV-14,1,"International TV Shows, TV Dramas","A mysterious, wealthy man offers three people a lucrative, unusual job that may be too good to be true: Live the high life as his children and heirs."
The Golden Years with Javed Akhtar,Unknown,Unknown,India,2017-06-01T00:00:00Z,2016,TV-G,1,"Docuseries, International TV Shows","Writer, poet and lyricist Javed Akhtar hosts this musical trip down memory lane, revealing untold stories behind India's best songs of 1950-75."
72 Cutest Animals,Unknown,Unknown,Australia,2016-06-01T00:00:00Z,2016,TV-G,1,"Docuseries, International TV Shows, Science & Nature TV",This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.
72 Dangerous Places to Live,Unknown,Mitch Ryan,Australia,2016-06-01T00:00:00Z,2016,TV-PG,1,"Docuseries, International TV Shows, Science & Nature TV","Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths."
Bob Ross: Beauty Is Everywhere,Unknown,Bob Ross,Unknown,2016-06-01T00:00:00Z,1991,TV-G,1,TV Shows,"""The Joy of Painting"" host Bob Ross brings his signature wet-on-wet style to a bevy of bucolic landscape paintings celebrating the beauty of nature."
Gentlemen and Gangsters,Unknown,"David Dencik, Ruth Vega Fernandez, David Fukamachi Regnfors, Sverrir Gudnason, Andreas Kundler, Sven Nordin, Boman Oscarsson, Lars Green, Sebastian Sporsén, Amanda Ooms, Magnus Krepper, Peter Carlberg, Peter Bergared, Christopher Wagelin, Lars Helander, Emilie Jonsson",Sweden,2016-06-01T00:00:00Z,2016,TV-MA,1,"Crime TV Shows, International TV Shows, Romantic TV Shows","Now on the run, a writer relates his previous year's escapades when he got sucked into the thrilling, sordid orbit of boxer and jazz man Henry Morgan."
Krishna Balram,Unknown,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Arun Shekher, Sanchit Wartak, Sharda Agnihotri, Ashok Sonawane, Joy Mukherjee",Unknown,2019-07-08T00:00:00Z,2019,TV-Y7-FV,1,Kids' TV,"From playing pranks to destroying demons, Lord Krishna and brother Balaram's lives in Vrindavan are action-packed in this mythological series."
Mr. Sunshine,Lee Eung-bok,"Lee Byung-hun, Kim Tae-ri, Yoo Yeon-seok, Kim Min-jung, Byun Yo-han",South Korea,2018-07-08T00:00:00Z,2018,TV-MA,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.
Diamond Lover,Unknown,"Rain, Tiffany Tang, Luo Jin, Dilraba Dilmurat, Yao Yichen",China,2017-07-07T00:00:00Z,2015,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Dramas","After an accident leads to great weight loss, once-obese Mi Duo embarks on a new life working for her secret crush, diamond company CEO Xiao Liang."
King’s War,Unknown,"Chen Daoming, Peter Ho, Duan Yihong, Qin Lan, Li Yixiao, Yang Lixin, You Yong, Yu Hewei",Unknown,2017-07-07T00:00:00Z,2012,TV-14,1,"International TV Shows, TV Dramas","In 210 B.C., during the upheaval following the death of Emperor Qin, insurgent warriors Xiang Yu and Liu Bang fight for control of the Chinese empire."
Qin Empire: Alliance,Unknown,"Fu Dalong, Ning Jing, Yu Entai, Zhou Bo, Fu Miao, Feihu Sun, Lu Ying, Qiu Yongli",China,2017-07-07T00:00:00Z,2012,TV-14,1,"International TV Shows, TV Dramas","During the Warring States period, Qin state ruler Duke Xiao recruits statesman Shang Yang to help enact bold reforms that transform western China."
The Legend of Bruce Lee,Unknown,"Danny Chan, Michelle Lang, Ted Duran, Hazen MacIntyre, Luoyong Wang, Natalia Dzyublo, Traci Ann Wolfe, Ke Gai, Zhou Zhou, Yu Chenghui",China,2017-07-07T00:00:00Z,2008,NR,1,"International TV Shows, TV Action & Adventure, TV Dramas","The brief but spectacular career of martial arts superstar Bruce Lee is recounted in this drama, starring Danny Chan as the enigmatic and driven Lee."
NSU German History X,Unknown,"Anna Maria Mühe, Albrecht Schuch, Sebastian Urzendowsky, Almila Bagriacik, Tom Schilling, André Hennicke, Florian Lukas, Liv Lisa Fries, Sylvester Groth, Florian Stetter, Nina Gummich, Jonas Leonhardi, Ben Münchow, Maximilian Jaenisch",Germany,2016-07-07T00:00:00Z,2016,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","After German reunification, the neo-Nazi National Socialist Underground begins a killing spree while cops fight an uphill battle to catch them."
In The Dark,Unknown,"Perry Mattfeld, Brooke Markham, Casey Deidrick, Keston John, Morgan Krantz, Rich Sommer, Thamela Mpumlwana, Saycon Sengbloh, Kathleen York, Derek Webster",United States,2019-07-05T00:00:00Z,2019,TV-14,1,"Crime TV Shows, TV Dramas",A blind woman with vices finds herself in the middle of a murder investigation when her best friend turns up dead.
The Legend of White Snake,Unknown,"Yu Menglong, Ju Jingyi, Pei Zitian, Xiao Yan, Nie Zihao, Yu Lang",Unknown,2019-07-05T00:00:00Z,2019,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","In this new take on a classic tale, an ancient snake spirit transforms into a beautiful woman and falls in love with a doctor unaware of her true form."
Dharmakshetra,Unknown,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,2018-07-05T00:00:00Z,2014,TV-14,1,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
Raja Rasoi Aur Anya Kahaniyan,Unknown,Unknown,India,2018-07-05T00:00:00Z,2014,TV-G,1,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
Stories by Rabindranath Tagore,Anurag Basu,Unknown,India,2018-07-05T00:00:00Z,2015,TV-14,1,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
Bangkok Love Stories: Innocence,Unknown,"Nida Patcharaveerapong, Nicole Theriault, Nattapol Diloknawarit, Tosatid Darnkhuntod, Narupornkamol Chaisang, Pavadee Komchokpaisan, Kawin Manonukul, Ponlawit Ketprapakorn, Rudklao Amratisha, Paramej Noiam, Tachakorn Boonlupyanun, Teera Pratumtree, Nawarat Techarathanaprasert, Naphon Phromsuwan",Unknown,2019-07-31T00:00:00Z,2018,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","From a teenage parkour enthusiast to a bawdy restaurateur, an eclectic group of characters find romance in Bangkok's glittering Silom district."
Reality of Dream,Unknown,"Sean Jindachot, Jintanutda Lummakanon, Charebelle Lanlalin, Aon Korakot Tunkaew, Attaporn Teemakorn, Rath Rattasin Nalintanapat, Ak Akarat, Geng Wayo Assawarungruang, Pemy Peramin Thabkaew",Unknown,2018-07-31T00:00:00Z,2015,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","Five friends from college chase their post-grad dreams of becoming a successful writer, film director, singer, rich wife and out-and-proud hair stylist."
Wet Hot American Summer,Unknown,"Elizabeth Banks, Lake Bell, H. Jon Benjamin, Michael Ian Black, Michael Cera, Josh Charles, Bradley Cooper, Judah Friedlander, Janeane Garofalo, Jon Hamm, Nina Hellman, Joe Lo Truglio, Ken Marino, Christopher Meloni, A.D. Miles, Marguerite Moreau, Zak Orth, Jordan Peele, David Hyde Pierce, Chris Pine, Amy Poehler, Paul Rudd, Marisa Ryan, Jason Schwartzman, Molly Shannon, Michael Showalter, John Slattery, Kevin Sussman, David Wain, Kristen Wiig",United States,2015-07-31T00:00:00Z,2015,TV-MA,1,TV Comedies,"It's the first day of camp in this outrageous prequel to the hilarious 2001 cult classic movie. And at Camp Firewood, anything can happen."
7 (Seven),Nizar Shafi,"Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",India,2019-07-30T00:00:00Z,2019,TV-14,1,TV Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
